Month,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
196307,0.85,0.24,0.56,-0.02,-1.22,-1.87,0.29,-0.84,-1.90,-1.19,-1.84,-1.87,-0.81,-2.21,-1.80,-0.93,-1.63,-2.07,-1.67,-1.86,0.14,0.46,1.23,-0.45,-1.11
196308,3.80,2.15,1.32,2.29,4.73,5.40,4.65,4.36,4.33,8.23,5.36,4.62,5.63,4.72,5.15,5.59,4.81,6.12,7.56,5.35,5.77,4.22,4.77,8.16,6.25
196309,-2.70,0.26,-1.09,-1.59,-0.38,-3.92,-1.57,-0.64,-1.13,-2.91,-4.65,-1.52,-0.69,-0.10,-1.82,-2.67,-1.95,-2.00,-3.58,-1.99,-1.37,-0.77,-0.98,-0.12,-3.82
196310,1.36,-0.63,1.24,0.05,2.37,1.19,4.30,2.34,2.26,3.93,2.26,0.50,2.70,2.16,1.07,-0.24,0.93,2.30,5.34,0.61,5.33,1.73,-0.26,2.36,0.48
196311,-3.11,-4.32,-1.60,-1.00,-1.11,-4.18,-1.76,-0.71,-0.09,-0.11,-2.92,-1.58,-0.91,-0.90,-1.21,-0.91,-0.86,-0.51,1.15,3.54,-1.26,0.98,-1.55,-2.05,1.37
196312,-2.94,-0.55,-0.90,-1.75,-0.97,-0.68,-0.91,1.15,0.97,0.12,0.60,1.17,1.52,1.52,0.47,-0.17,1.27,1.63,3.14,6.15,2.62,2.30,2.28,2.38,2.37
196401,3.95,3.17,4.11,4.22,4.87,-1.80,-0.64,3.67,1.49,4.23,0.50,0.57,2.53,4.03,3.22,-0.43,1.84,1.14,3.62,3.34,3.09,3.17,1.80,2.11,1.42
196402,3.14,2.66,2.26,0.30,4.49,1.62,1.73,2.51,2.01,6.10,0.31,2.61,1.80,3.58,4.01,2.61,1.36,3.13,7.45,4.61,1.82,0.52,1.03,3.87,3.96
196403,0.63,1.11,2.38,3.64,2.71,2.32,3.24,3.54,5.69,6.15,-0.63,2.61,4.51,5.55,6.75,1.78,2.74,5.42,6.95,0.72,1.16,0.72,3.80,4.01,-0.39
196404,-1.70,2.58,-0.41,-1.00,-0.90,-0.76,-4.07,0.61,-1.49,-0.66,-2.01,-1.15,0.34,-0.85,-1.02,-2.72,0.84,1.45,-2.06,-2.28,0.23,1.49,0.77,-1.00,2.81
196405,-1.40,-1.17,0.47,0.45,1.47,3.13,0.36,2.96,1.82,3.74,-0.49,1.63,-0.29,1.94,2.50,1.20,2.36,1.36,2.61,4.10,2.07,0.32,1.26,4.22,3.45
